Comando;NomeCat;IDProduto;CodProd;NomeProd;Peso;Descricao;DescrLonga;DescrURL;URLTarget;Estoque;EstoqueMinimo;Disponivel;ICMS;Custo;Preco;PrecoProm;PrecoB2B;PrecoB2BProm;DataPromInicio;DataPromFim;Lancamento;EmDestaque;ImagemProd;ImagemDet;ImagemAmp;Adicional1;Adicional2;Adicional3;AdicionalD1;AdicionalD2;AdicionalD3;Cores;OrdemProd;IDProdutoPai;RamoProd;MaisProd;DataVencimento;DiasAvisoVencimento;DiasReposicao;IDParceiroProd;DescrHTM;MetaKeywordsProd;MaxParcelasProd;XMLParcelasProd;CodBarrasProd;Embalavel;IsProdutoGrande
A;Baby Dolls;3340037;20143/01;;200;;;;False;1;1;True;0;105.6;105.6;0;0;0;;;False;False;;;;;98737;;;;;17515;1;602998;;;;0;0;;;;0;0;;True;False
A;Baby Dolls;602998;20143;Babydoll 2 Pc Mesh Babydoll With Sequined Lace Trim (8825);200;;;;False;1;1;True;0;105.6;105.6;0;0;0;;;False;False;T20143.jpg;I20143.jpg;;;;;;;;;1;;1094;20141,20142,20144;;0;0;;iframe/20143.html;Babydoll 2 Pc Mesh Babydoll With Sequined Lace Trim,8825,Leg avenue,body,babydoll;0;0;;True;False
